name,book,year,frequency
Musikdirektor Schwenke,AMZ1848,1848,2
Christian Friedrich Gottlieb Schwenke,AMZ1848,1848,8
 Schwenke,AMZ1848,1848,4
C F Schwenke,AMZ1848,1848,2
Friedrich Gottlieb Schwenke,AMZ1848,1848,2
J F Schwenke,AMZ1848,1848,11
C Schwenke,AMZ1848,1848,14
Antonio Gandini,AMZ1848,1848,2
Alessandro Gandini,AMZ1848,1848,2
de Rome,AMZ1848,1848,2
J Wöllfl,AMZ1848,1848,6
Kaiserin Amalia,AMZ1848,1848,2
 Imhoff,AMZ1848,1848,2
Le Prisonnier,AMZ1848,1848,3
Johann Schenk,AMZ1848,1848,2
Eduard v Schenk,AMZ1848,1848,2
 Schenk,AMZ1848,1848,2
Hauptklang C,AMZ1848,1848,3
M C,AMZ1848,1848,2
F C,AMZ1848,1848,3
Bürgers Lenore,AMZ1848,1848,3
Moriz Salomon,AMZ1848,1848,2
Johann Peter Salomon,AMZ1848,1848,2
Heinrich Salomon,AMZ1848,1848,2
Siegfried Salomon,AMZ1848,1848,2
n Salomon,AMZ1848,1848,2
Primo Tenore,AMZ1848,1848,2
Ferdinand Fränzl,AMZ1848,1848,13
 Fränzl,AMZ1848,1848,6
Director Fränzl,AMZ1848,1848,3
Iohann Heinrich Kirchner,AMZ1848,1848,3
Heribert Rau,AMZ1848,1848,3
Dr Krug,AMZ1848,1848,6
Friedrich Krug,AMZ1848,1848,8
 Krug,AMZ1848,1848,3
Gustav Krug,AMZ1848,1848,9
C Krug,AMZ1848,1848,3
Hr Sarastro,AMZ1848,1848,2
Caspar Sarastro,AMZ1848,1848,2
me Lange,AMZ1848,1848,3
Meyer Lange,AMZ1848,1848,3
n Lange,AMZ1848,1848,6
J H Lange,AMZ1848,1848,2
Ed Lange,AMZ1848,1848,3
Rudolph Lange,AMZ1848,1848,2
L Reilstab,AMZ1848,1848,3
M Artaria,AMZ1848,1848,2
 Artaria,AMZ1848,1848,4
Schuberth Hambarg,AMZ1848,1848,3
Bernard Crusell,AMZ1848,1848,10
n Braun,AMZ1848,1848,3
Baron Braun,AMZ1848,1848,8
Joseph Braun,AMZ1848,1848,9
von Braun,AMZ1848,1848,2
C A P Braun,AMZ1848,1848,10
C A Braun,AMZ1848,1848,6
Major Braun,AMZ1848,1848,3
Wilhelm Braun,AMZ1848,1848,8
 Braun,AMZ1848,1848,5
Cäthinka Braun,AMZ1848,1848,4
J F Braun,AMZ1848,1848,4
Georg Braun,AMZ1848,1848,5
Musikdirector Braun,AMZ1848,1848,2
Carl Braun,AMZ1848,1848,2
Margarethe Marchand,AMZ1848,1848,2
Franz Xaver Huber,AMZ1848,1848,2
n Huber,AMZ1848,1848,2
Johann Nepomuk Huber,AMZ1848,1848,6
Joseph Huber,AMZ1848,1848,5
v Huber,AMZ1848,1848,3
 Huber,AMZ1848,1848,5
Ferdinand Huber,AMZ1848,1848,2
 Kammermusikus,AMZ1848,1848,20
königl Kammermusikus,AMZ1848,1848,3
Hr Kammermusikus,AMZ1848,1848,2
n Kammermusikus,AMZ1848,1848,5
ER ER,AMZ1848,1848,2
Franz Böhm,AMZ1848,1848,3
n Böhm,AMZ1848,1848,6
Jos Böhm,AMZ1848,1848,3
Professor Böhm,AMZ1848,1848,7
Theobald Böhm,AMZ1848,1848,7
Kammermusikus Böhm,AMZ1848,1848,2
 Böhm,AMZ1848,1848,7
Leopold Böhm,AMZ1848,1848,13
C Böhm,AMZ1848,1848,2
Georg Böhm,AMZ1848,1848,2
C L Böhm,AMZ1848,1848,2
J N Ender,AMZ1848,1848,2
 Ender,AMZ1848,1848,2
C Al,AMZ1848,1848,2
L Pabst,AMZ1848,1848,16
Guido von Arezzo,AMZ1848,1848,10
Maria und Johannes,AMZ1848,1848,4
Antonietta Trost,AMZ1848,1848,4
Pater Martini,AMZ1848,1848,45
Namens Martini,AMZ1848,1848,2
Padre Martini,AMZ1848,1848,3
Elena Martini,AMZ1848,1848,2
Schloss am Meer,AMZ1848,1848,2
 Meer,AMZ1848,1848,2
Digitized by Google,AMZ1848,1848,35
ER TE,AMZ1848,1848,2
ER RE,AMZ1848,1848,3
von Lehmann,AMZ1848,1848,13
de Lehmann,AMZ1848,1848,2
 Lehmann,AMZ1848,1848,3
Adolph von Lehmann,AMZ1848,1848,4
Meinhardt Lehmann,AMZ1848,1848,3
M J L Lehmann,AMZ1848,1848,2
M J T Lehmann,AMZ1848,1848,2
Lorenz Lehmann,AMZ1848,1848,8
J F Lehmann,AMZ1848,1848,3
MD Julius,AMZ1848,1848,6
Lutherschen Worten,AMZ1848,1848,2
M hat,AMZ1848,1848,2
Faubel hat,AMZ1848,1848,2
Häser hat,AMZ1848,1848,2
N hat,AMZ1848,1848,2
von Herz,AMZ1848,1848,2
Mannes Herz,AMZ1848,1848,4
Mein Herz,AMZ1848,1848,2
n Herz,AMZ1848,1848,4
Huber Herz,AMZ1848,1848,91
 Herz,AMZ1848,1848,4
Henri Herz,AMZ1848,1848,16
Sophie Herz,AMZ1848,1848,2
Kalkbrenner Herz,AMZ1848,1848,4
Jacques Herz,AMZ1848,1848,14
C Herz,AMZ1848,1848,2
de Henri Herz,AMZ1848,1848,2
Friedrich Heine,AMZ1848,1848,15
Heinrich Heine,AMZ1848,1848,118
 Heine,AMZ1848,1848,3
v Heine,AMZ1848,1848,3
 s,AMZ1848,1848,13
Meyers s,AMZ1848,1848,38
Naumann s,AMZ1848,1848,5
W s,AMZ1848,1848,15
F s,AMZ1848,1848,11
n D s,AMZ1848,1848,2
ER s,AMZ1848,1848,3
Kühner s,AMZ1848,1848,10
B s,AMZ1848,1848,35
v B s,AMZ1848,1848,4
H s,AMZ1848,1848,12
Sophie s,AMZ1848,1848,10
RECENsSsSIO s,AMZ1848,1848,24
L s,AMZ1848,1848,20
A R s,AMZ1848,1848,2
Dorn s,AMZ1848,1848,12
A s,AMZ1848,1848,5
v W s,AMZ1848,1848,4
P s,AMZ1848,1848,5
Fr do C s,AMZ1848,1848,2
Conservatorium s,AMZ1848,1848,4
a s,AMZ1848,1848,4
de SEEE,AMZ1848,1848,2
I SEEE,AMZ1848,1848,2
C D Stegmann,AMZ1848,1848,17
Wilhelm Ehlers,AMZ1848,1848,8
 Ehlers,AMZ1848,1848,2
 Kruse,AMZ1848,1848,3
 Eder,AMZ1848,1848,33
Joseph Eder,AMZ1848,1848,3
C Eder,AMZ1848,1848,2
Philipp Eder,AMZ1848,1848,7
Josephine Eder,AMZ1848,1848,4
Ch Thomas,AMZ1848,1848,2
St Thomas,AMZ1848,1848,7
Jery und Thomas,AMZ1848,1848,3
 Thomas,AMZ1848,1848,7
Ambroise Thomas,AMZ1848,1848,12
Kapellmeister Thomas,AMZ1848,1848,2
Ambrosius Thomas,AMZ1848,1848,3
C H Fiedler,AMZ1848,1848,5
Ernst Hauer,AMZ1848,1848,3
Hülfsmittels zur,AMZ1848,1848,2
J N Humpmel,AMZ1848,1848,7
von Albrecht,AMZ1848,1848,2
H A,AMZ1848,1848,7
C A,AMZ1848,1848,2
J A,AMZ1848,1848,2
n Neumann,AMZ1848,1848,2
F Ant Neumann,AMZ1848,1848,5
Friedrich Neumann,AMZ1848,1848,5
 Neumann,AMZ1848,1848,2
Theophile Neumann,AMZ1848,1848,2
me Neumann,AMZ1848,1848,2
H Neumann,AMZ1848,1848,10
Madame Neumann,AMZ1848,1848,2
W Neumann,AMZ1848,1848,3
August Apel,AMZ1848,1848,12
 Apel,AMZ1848,1848,2
Theodor Apel,AMZ1848,1848,2
Franz Glöggl,AMZ1848,1848,11
Archivar Glöggl,AMZ1848,1848,4
J Zapf,AMZ1848,1848,4
J N Zapf,AMZ1848,1848,7
J J Hammel,AMZ1848,1848,2
J N Hammel,AMZ1848,1848,2
Kapellmeister Hammel,AMZ1848,1848,2
 Martin,AMZ1848,1848,3
Vincenzo Martin,AMZ1848,1848,11
Joseph Martin,AMZ1848,1848,10
St Martin,AMZ1848,1848,7
Dr Martin,AMZ1848,1848,9
Ceigentlich Martin,AMZ1848,1848,2
WOovytischek sang,AMZ1848,1848,2
M sang,AMZ1848,1848,2
Eva sang,AMZ1848,1848,3
Schodel sang,AMZ1848,1848,2
n Verfassers,AMZ1848,1848,15
Carl Zulehner,AMZ1848,1848,16
Charles Zulehner,AMZ1848,1848,12
Georg Zulehner,AMZ1848,1848,2
Vater und Mutter,AMZ1848,1848,3
Kaiserin Mutter,AMZ1848,1848,2
C H Kummer,AMZ1848,1848,2
G H Kummer,AMZ1848,1848,5
G Kummer,AMZ1848,1848,9
F A Kummer,AMZ1848,1848,51
 Kummer,AMZ1848,1848,10
Kammermusikus Kummer,AMZ1848,1848,2
Kammermusikus F A Kummer,AMZ1848,1848,2
Kammermusikus G H Kummer,AMZ1848,1848,2
Caspar Kummer,AMZ1848,1848,6
Fr Kummer,AMZ1848,1848,7
Kaspar Kummer,AMZ1848,1848,3
 Sein,AMZ1848,1848,4
Johann Krebs,AMZ1848,1848,6
Xaver Krebs,AMZ1848,1848,4
Lähle Krebs,AMZ1848,1848,2
Hofsänger Krebs,AMZ1848,1848,2
Capellmeister Krebs,AMZ1848,1848,38
J Ludwig Krebs,AMZ1848,1848,11
n Kapellmeisters Krebs,AMZ1848,1848,2
Löwe Krebs,AMZ1848,1848,2
Kapellmeister Krebs,AMZ1848,1848,2
n Krebs,AMZ1848,1848,3
n Kapellmeister Krebs,AMZ1848,1848,3
n von Seyfried,AMZ1848,1848,2
J Ritter von Seyfried,AMZ1848,1848,11
von Seyfried,AMZ1848,1848,24
J Seyfried,AMZ1848,1848,2
Ritter von Seyfried,AMZ1848,1848,26
J von Seyfried,AMZ1848,1848,6
Iguaz v Seyfried,AMZ1848,1848,3
Ritter Seyfried,AMZ1848,1848,5
Kapellmeister von Seyfried,AMZ1848,1848,11
de Seyfried,AMZ1848,1848,2
J de Seyfried,AMZ1848,1848,5
Kapellmeisters von Seyfried,AMZ1848,1848,2
Ignaz Ritter von Seyfried,AMZ1848,1848,17
Kapellmeister Ritter von Seyfried,AMZ1848,1848,4
n Kapellmeister von Seyfried,AMZ1848,1848,2
Ignaz v Seyfried,AMZ1848,1848,2
D Serigny,AMZ1848,1848,2
Pietro Raimondi,AMZ1848,1848,2
n Raimondi,AMZ1848,1848,2
D Chladni,AMZ1848,1848,29
Ernst Florens Friedrich Chladni,AMZ1848,1848,38
n D Chladni,AMZ1848,1848,2
Professor Chladni,AMZ1848,1848,2
Gustav Flägel,AMZ1848,1848,5
Georg Abraham Schneider,AMZ1848,1848,73
Abraham Schneider,AMZ1848,1848,23
Wilhelm Schneider,AMZ1848,1848,39
Musikdirector G A Schneider,AMZ1848,1848,5
 Schneider,AMZ1848,1848,163
C A Schneider,AMZ1848,1848,9
Friedrich Schneider,AMZ1848,1848,329
Friedr Schneider,AMZ1848,1848,3
Gottlieb Schneider,AMZ1848,1848,7
Fred Schneider,AMZ1848,1848,2
Kammermusicus Schneider,AMZ1848,1848,2
Musikdireetor Schneider,AMZ1848,1848,8
Johanna Schneider,AMZ1848,1848,16
Friedrieh Schneider,AMZ1848,1848,2
Musikdirector Schneider,AMZ1848,1848,9
n Schneider,AMZ1848,1848,7
Johann Schneider,AMZ1848,1848,8
Kapellmeisters Friedrich Schneider,AMZ1848,1848,2
Musikdireetors Schneider,AMZ1848,1848,3
Musikdirectors Schneider,AMZ1848,1848,3
Kapellmeister Schneider,AMZ1848,1848,25
Musikdirektor Schneider,AMZ1848,1848,3
Kapellmeisters Schneider,AMZ1848,1848,3
Kapellmeister Friedrich Schneider,AMZ1848,1848,5
Franz Schneider,AMZ1848,1848,3
K M Schneider,AMZ1848,1848,2
Julius Schneider,AMZ1848,1848,29
Dr Friedrich Schneider,AMZ1848,1848,30
Director Schneider,AMZ1848,1848,4
Lorenz Schneider,AMZ1848,1848,29
Dr Schneider,AMZ1848,1848,20
Hoforganisten Schneider,AMZ1848,1848,2
Hoforganist Schneider,AMZ1848,1848,2
r Schneider,AMZ1848,1848,2
n MD Julius Schneider,AMZ1848,1848,2
n L Schneider,AMZ1848,1848,3
J G W Schneider,AMZ1848,1848,2
Bernhard Schneider,AMZ1848,1848,6
Louis Schneider,AMZ1848,1848,2
MD Julius Schneider,AMZ1848,1848,2
Krebs Schneider,AMZ1848,1848,2
MD Schneider,AMZ1848,1848,3
n Dr Friedrich Schneider,AMZ1848,1848,2
Rochlitz an Friedrich Schneider,AMZ1848,1848,3
Hoffmann Gross,AMZ1848,1848,4
J Gross,AMZ1848,1848,4
August Gross,AMZ1848,1848,3
Friedrich Gross,AMZ1848,1848,5
Johann Benjamin Gross,AMZ1848,1848,63
Benedikt Gross,AMZ1848,1848,12
 Gross,AMZ1848,1848,2
G A Gross,AMZ1848,1848,9
n Gross,AMZ1848,1848,3
Klein und Gross,AMZ1848,1848,2
C Cherubini,AMZ1848,1848,2
Elise Cherubini,AMZ1848,1848,2
Louis Cherubini,AMZ1848,1848,64
Boieldieu und Cherubini,AMZ1848,1848,2
Mr Cherubini,AMZ1848,1848,3
v Cherubini,AMZ1848,1848,3
Elise von Cherubini,AMZ1848,1848,3
Elisa von Cherubini,AMZ1848,1848,4
Ali Baba von Cherubini,AMZ1848,1848,3
n Kapellmeister Cherubini,AMZ1848,1848,3
Musigue de L Cherubini,AMZ1848,1848,2
Joseph Sonnleithner,AMZ1848,1848,3
Dr Sonnleithner,AMZ1848,1848,2
 Sonnleithner,AMZ1848,1848,2
Christoph Sonnleithner,AMZ1848,1848,2
Doktor Forkel,AMZ1848,1848,5
Johann Nicolaus Forkel,AMZ1848,1848,6
Dr Forkel,AMZ1848,1848,7
N Forkel,AMZ1848,1848,2
 Hönig,AMZ1848,1848,2
Julius Maier,AMZ1848,1848,2
Faniska Lodoiska,AMZ1848,1848,2
Hügel das Lamm,AMZ1848,1848,2
NACHRICHTE N Paris,AMZ1848,1848,2
N Paris,AMZ1848,1848,2
EUR Paris,AMZ1848,1848,2
de Paris,AMZ1848,1848,11
Lafont aus Paris,AMZ1848,1848,3
Henriette Paris,AMZ1848,1848,2
Stadt Paris,AMZ1848,1848,4
Johann von Paris,AMZ1848,1848,166
van Paris,AMZ1848,1848,3
NACHERICHTE N Paris,AMZ1848,1848,2
Latte Paris,AMZ1848,1848,2
Prankfur a,AMZ1848,1848,3
D a,AMZ1848,1848,3
F a,AMZ1848,1848,2
Heinrich Laube,AMZ1848,1848,3
Kein Thier,AMZ1848,1848,2
Die Masik,AMZ1848,1848,5
Nürnberg München,AMZ1848,1848,5
Jesu Christ,AMZ1848,1848,35
 Christ,AMZ1848,1848,11
M Christ,AMZ1848,1848,2
Dr Christ,AMZ1848,1848,3
Franz Christ,AMZ1848,1848,2
Johann Christ,AMZ1848,1848,2
Heinrich Stölzel,AMZ1848,1848,2
 Minna,AMZ1848,1848,3
 Fürst,AMZ1848,1848,2
L Th Kosegarten,AMZ1848,1848,3
P C Hoffmann,AMZ1848,1848,3
n Hoffmann,AMZ1848,1848,3
Heinrich Anton Hoffmann,AMZ1848,1848,16
 Hoffmann,AMZ1848,1848,23
Gebrüder Hoffmann,AMZ1848,1848,7
Johann Hoffmann,AMZ1848,1848,13
P Hoffmann,AMZ1848,1848,3
Concertmeisters Hoffmann,AMZ1848,1848,8
v Hoffmann,AMZ1848,1848,4
D Hoffmann,AMZ1848,1848,6
Ernst Theodor Amadeus Hoffmann,AMZ1848,1848,9
Joachim Hoffmann,AMZ1848,1848,6
Concertmeister Hoffmann,AMZ1848,1848,2
Ch Ed Hoffmann,AMZ1848,1848,2
Herr Herrmann Hoffmann,AMZ1848,1848,2
Carl und Hoffmann,AMZ1848,1848,6
Sophie Hoffmann,AMZ1848,1848,2
Hr Hoffmann,AMZ1848,1848,10
Carl Hoffmann,AMZ1848,1848,4
Franz Hoffmann,AMZ1848,1848,4
und Hoffmann,AMZ1848,1848,2
S g,AMZ1848,1848,2
Dr Arnold,AMZ1848,1848,6
Johann Gottfried Arnold,AMZ1848,1848,4
J Arnold,AMZ1848,1848,2
Carl Arnold,AMZ1848,1848,24
Charles Arnold,AMZ1848,1848,7
Karl Arnold,AMZ1848,1848,2
F W Arnold,AMZ1848,1848,4
G Kunze,AMZ1848,1848,11
E Kunze,AMZ1848,1848,2
Karl Kreith,AMZ1848,1848,5
Ch Kreith,AMZ1848,1848,29
der sich Mann,AMZ1848,1848,4
der Mann,AMZ1848,1848,4
dem Mann,AMZ1848,1848,3
F Mann,AMZ1848,1848,2
Professors am,AMZ1848,1848,3
N am,AMZ1848,1848,2
Bald am,AMZ1848,1848,2
FFIA am,AMZ1848,1848,2
Frankfürt am,AMZ1848,1848,2
Beethovens Christus am,AMZ1848,1848,2
Siegert am,AMZ1848,1848,2
 am,AMZ1848,1848,3
Rittmeister am,AMZ1848,1848,2
H am,AMZ1848,1848,2
Professor am,AMZ1848,1848,5
n am,AMZ1848,1848,2
Sand am,AMZ1848,1848,2
Guido bis,AMZ1848,1848,3
Heinrich Christoph Koch,AMZ1848,1848,12
Franz Koch,AMZ1848,1848,9
 Koch,AMZ1848,1848,5
Charles Koch,AMZ1848,1848,11
Blanc Koch,AMZ1848,1848,4
Hofmusikus Koch,AMZ1848,1848,2
E Koch,AMZ1848,1848,4
Stephan Koch,AMZ1848,1848,2
L Koch,AMZ1848,1848,5
Karl Koch,AMZ1848,1848,3
n Koch,AMZ1848,1848,4
Elisabeth Mara,AMZ1848,1848,3
m Mara,AMZ1848,1848,8
Banti Mara,AMZ1848,1848,2
von Dalberg,AMZ1848,1848,10
F de Dalberg,AMZ1848,1848,5
F Dalberg,AMZ1848,1848,2
Friedrich von Dalberg,AMZ1848,1848,5
Alexander Duval,AMZ1848,1848,2
 Tieck,AMZ1848,1848,4
Ludwig Tieck,AMZ1848,1848,21
A W Lorenz,AMZ1848,1848,2
St Lorenz,AMZ1848,1848,2
Kammermusikus Lorenz,AMZ1848,1848,3
Oswald Lorenz,AMZ1848,1848,4
Marie Louise,AMZ1848,1848,9
Maria Louise,AMZ1848,1848,2
 Louise,AMZ1848,1848,2
Georg Schinn,AMZ1848,1848,4
G B,AMZ1848,1848,2
G Lickl,AMZ1848,1848,15
C G Lickl,AMZ1848,1848,12
J Amon,AMZ1848,1848,43
L Amon,AMZ1848,1848,2
Johann Baptist Cramer,AMZ1848,1848,103
Franz Cramer,AMZ1848,1848,15
Gerhard Cramer,AMZ1848,1848,3
Johann Cramer,AMZ1848,1848,30
Carl Friedrich Cramer,AMZ1848,1848,3
Wilhelm Cramer,AMZ1848,1848,3
Himmel Cramer,AMZ1848,1848,13
 Cramer,AMZ1848,1848,4
Baptist Cramer,AMZ1848,1848,4
J A Cramer,AMZ1848,1848,3
F W Cramer,AMZ1848,1848,2
Moscheles Cramer,AMZ1848,1848,3
Czerny Cramer,AMZ1848,1848,4
J R Cramer,AMZ1848,1848,4
de J B Cramer,AMZ1848,1848,2
II Cramer,AMZ1848,1848,2
Franz Danzi,AMZ1848,1848,75
Kapellmeisters Danzi,AMZ1848,1848,2
 Danzi,AMZ1848,1848,2
Kapellmeister Danzi,AMZ1848,1848,4
v Danzi,AMZ1848,1848,2
Abt Stadler,AMZ1848,1848,12
Abbe Stadler,AMZ1848,1848,33
Maximilian Stadler,AMZ1848,1848,8
Abbe Maximilian Stadler,AMZ1848,1848,5
Franz Stadler,AMZ1848,1848,2
 Volkmar,AMZ1848,1848,2
de Lilien,AMZ1848,1848,3
Joseph Haydus,AMZ1848,1848,2
Carl Phil,AMZ1848,1848,7
 Phil,AMZ1848,1848,4
J Phil,AMZ1848,1848,2
Hasse Händel,AMZ1848,1848,5
Georg Friedrich Händel,AMZ1848,1848,69
G J Händel,AMZ1848,1848,2
G Händel,AMZ1848,1848,2
C F Händel,AMZ1848,1848,2
Jephta Händel,AMZ1848,1848,5
Judas Maccabäus von Händel,AMZ1848,1848,2
 Händel,AMZ1848,1848,2
Vater und Sohn,AMZ1848,1848,10
Der Sohn,AMZ1848,1848,3
Sein Sohn,AMZ1848,1848,5
Fürstenau dem Sohn,AMZ1848,1848,2
Laucher Sohn,AMZ1848,1848,2
Gern Sohn,AMZ1848,1848,2
Falter und Sohn,AMZ1848,1848,11
Lablache Sohn,AMZ1848,1848,2
Bärmann Sohn,AMZ1848,1848,2
Professors Maister John Bull,AMZ1848,1848,2
Ole Bull,AMZ1848,1848,101
Johann Mattheson,AMZ1848,1848,2
Hermann u Langbein,AMZ1848,1848,2
Der Bravo,AMZ1848,1848,2
presso Peters Lipsia,AMZ1848,1848,2
J Crescentini,AMZ1848,1848,6
Girolamo Crescentini,AMZ1848,1848,6
n Breitkopf,AMZ1848,1848,2
Kammerherr von,AMZ1848,1848,3
Mayland von,AMZ1848,1848,2
Baron von,AMZ1848,1848,2
 von,AMZ1848,1848,24
Freyherrn von,AMZ1848,1848,3
Operndirector von,AMZ1848,1848,3
Johanna Franul von,AMZ1848,1848,3
Th von,AMZ1848,1848,2
Wilhelm Tell von,AMZ1848,1848,6
Hans Heiling von,AMZ1848,1848,2
Wilhelm von Oranien von,AMZ1848,1848,2
Georg Tromlitz,AMZ1848,1848,2
n Tromlitz,AMZ1848,1848,2
Louis Maurer,AMZ1848,1848,141
F A Maurer,AMZ1848,1848,2
Franz Maurer,AMZ1848,1848,6
n Maurer,AMZ1848,1848,4
v Maurer,AMZ1848,1848,4
Eduard Maurer,AMZ1848,1848,12
Musikdirector Maurer,AMZ1848,1848,4
Ludwig Maurer,AMZ1848,1848,3
Concertmeister Louis Maurer,AMZ1848,1848,5
Der Maurer,AMZ1848,1848,2
 Maurer,AMZ1848,1848,2
Alexander Maurer,AMZ1848,1848,2
J M Maurer,AMZ1848,1848,3
Don Pasquale,AMZ1848,1848,7
C Heinemann,AMZ1848,1848,3
Prinzen Heinrich,AMZ1848,1848,3
 Heinrich,AMZ1848,1848,3
Anton Philipp Heinrich,AMZ1848,1848,6
Georg Heinrich,AMZ1848,1848,2
J G Heinrich,AMZ1848,1848,9
n Heinrich,AMZ1848,1848,2
 Beck,AMZ1848,1848,2
Andreas Beck,AMZ1848,1848,2
C F Beck,AMZ1848,1848,10
Carl Beck,AMZ1848,1848,9
n Beck,AMZ1848,1848,5
Karl Beck,AMZ1848,1848,2
Hans Sachs,AMZ1848,1848,42
 Sachs,AMZ1848,1848,17
n Sachs,AMZ1848,1848,2
Joseph Heilmann,AMZ1848,1848,2
Friedrich II von Preussen,AMZ1848,1848,2
Heinrich von Preussen,AMZ1848,1848,4
Ferdinand von Preussen,AMZ1848,1848,2
Kronprinzessin von Preussen,AMZ1848,1848,2
Karl von Preussen,AMZ1848,1848,2
Carl von Preussen,AMZ1848,1848,2
Albrecht von Preussen,AMZ1848,1848,3
Friedrich von Preussen,AMZ1848,1848,2
Königs von Preussen,AMZ1848,1848,2
with an Accompaniment,AMZ1848,1848,2
n Pfarrers,AMZ1848,1848,2
 Schubart,AMZ1848,1848,3
N Wiesner,AMZ1848,1848,4
Franz Duschek,AMZ1848,1848,2
A Hagen,AMZ1848,1848,3
n Hagen,AMZ1848,1848,2
Theodor Hagen,AMZ1848,1848,3
F Neubauer,AMZ1848,1848,4
H Helmuth,AMZ1848,1848,3
Johann Christoph,AMZ1848,1848,6
Ritters Christoph,AMZ1848,1848,2
 Christoph,AMZ1848,1848,2
Georg Christoph,AMZ1848,1848,3
F Bode,AMZ1848,1848,5
Carl Bode,AMZ1848,1848,6
n Bode,AMZ1848,1848,5
 Bode,AMZ1848,1848,2
L Bode,AMZ1848,1848,2
Klopstocks Messias,AMZ1848,1848,4
Klopstoeks Messias,AMZ1848,1848,2
Händels Messias,AMZ1848,1848,2
Fr Bar,AMZ1848,1848,2
 Jos,AMZ1848,1848,3
C m,AMZ1848,1848,2
n Direktor,AMZ1848,1848,2
Der Direktor,AMZ1848,1848,4
de Lobkowitz,AMZ1848,1848,2
v Lobkowitz,AMZ1848,1848,5
Fürst Lobkowitz,AMZ1848,1848,3
Karl war,AMZ1848,1848,3
Heil war,AMZ1848,1848,2
RKapellineister war,AMZ1848,1848,2
Nacbt war,AMZ1848,1848,2
n Quandts,AMZ1848,1848,2
n Grafen Fries,AMZ1848,1848,2
Jakobs Himmelsleiter,AMZ1848,1848,2
P Haensel,AMZ1848,1848,7
n Konzertmeister,AMZ1848,1848,3
Hofmusikus Dieter,AMZ1848,1848,2
Hofmusicus Schwegler,AMZ1848,1848,2
Friedrich Kaufmann,AMZ1848,1848,7
n Kaufmann,AMZ1848,1848,3
 Kaufmann,AMZ1848,1848,4
Philipp Kaufmann,AMZ1848,1848,2
Paul Kaufmann,AMZ1848,1848,2
W eber,AMZ1848,1848,9
K M v eber,AMZ1848,1848,2
Himmel Italiens,AMZ1848,1848,5
n Baron,AMZ1848,1848,9
Der Baron,AMZ1848,1848,2
 Baron,AMZ1848,1848,3
Friedrich Baron,AMZ1848,1848,4
n Bierey,AMZ1848,1848,2
Gottlob Benediet Bierey,AMZ1848,1848,21
 Bierey,AMZ1848,1848,3
iselle Bierey,AMZ1848,1848,2
v Bierey,AMZ1848,1848,2
Kapellmeister Bierey,AMZ1848,1848,3
Sigmund Anton Steiner,AMZ1848,1848,7
A Steiner,AMZ1848,1848,6
Jacobus Steiner,AMZ1848,1848,2
Bey S A Steiner,AMZ1848,1848,2
Jacob Steiner,AMZ1848,1848,2
Louise Pfeifer,AMZ1848,1848,2
Franz Xaver Pfeifer,AMZ1848,1848,2
F Pfeifer,AMZ1848,1848,3
Carl Pfeifer,AMZ1848,1848,3
Don Sylvio,AMZ1848,1848,2
F Baer,AMZ1848,1848,4
Meyer Baer,AMZ1848,1848,2
J B Breval,AMZ1848,1848,2
L Euler,AMZ1848,1848,2
K Wien,AMZ1848,1848,3
Residenzstadt Wien,AMZ1848,1848,2
NaRRTGETEN Wien,AMZ1848,1848,10
NACHRICHTE N Wien,AMZ1848,1848,8
TE N Wien,AMZ1848,1848,2
Hoftheaters zu Wien,AMZ1848,1848,2
Hummel von Wien,AMZ1848,1848,2
zua Wien,AMZ1848,1848,2
NACHRICHTEN N Wien,AMZ1848,1848,3
Hoftheater zu Wien,AMZ1848,1848,4
 Wien,AMZ1848,1848,5
NACHERICHTE N Wien,AMZ1848,1848,2
Franz Schoberlechner aus Wien,AMZ1848,1848,3
S Wien,AMZ1848,1848,4
Schodel aus Wien,AMZ1848,1848,2
Mollo Wien,AMZ1848,1848,3
Haslinger Wien,AMZ1848,1848,8
Diabelli Wien,AMZ1848,1848,6
Baslinger Wien,AMZ1848,1848,2
Hofoperntheater zu Wien,AMZ1848,1848,2
Adelaide Lied,AMZ1848,1848,2
Journal Deutschland,AMZ1848,1848,3
Felix Mendelssohn,AMZ1848,1848,182
n F Mendelssohn,AMZ1848,1848,2
Feliz Mendelssohn,AMZ1848,1848,8
Dr Mendelssohn,AMZ1848,1848,49
Moses Mendelssohn,AMZ1848,1848,3
Dr Felix Mendelssohn,AMZ1848,1848,12
 Mendelssohn,AMZ1848,1848,13
n Dr Mendelssohn,AMZ1848,1848,11
Dr Feliz Mendelssohn,AMZ1848,1848,3
Esser Mendelssohn,AMZ1848,1848,2
n Mendelssohn,AMZ1848,1848,7
van Mendelssohn,AMZ1848,1848,2
Moses Mendelssohns,AMZ1848,1848,2
Felix Mendelssohns,AMZ1848,1848,3
Major von Beeke,AMZ1848,1848,2
Carl Heinrich Graun,AMZ1848,1848,9
Dr Schmieder,AMZ1848,1848,3
ER IE,AMZ1848,1848,2
G Küster,AMZ1848,1848,2
Johann Heinrich Küster,AMZ1848,1848,3
Hermann Küster,AMZ1848,1848,3
n Rose,AMZ1848,1848,2
n Sarti,AMZ1848,1848,2
J Sarti,AMZ1848,1848,2
 Sarti,AMZ1848,1848,2
Ferdinand Sturm,AMZ1848,1848,7
a Reindl,AMZ1848,1848,3
